Mater.,prototype,category,Vcell/Pvatom,xA,xB,IEA,XA,IEB,Xb
Cr3Ge,Cr3Si,metal,1.2069,0.75,0.25,6.766,1.66,7.897,2.01
Cr3Si,Cr3Si,metal,1.2088,0.75,0.25,6.766,1.66,8.151,1.9
Nb3Ga,Cr3Si,metal,1.0967,0.75,0.25,6.758,1.6,5.998,1.81
V3Ga,Cr3Si,metal,1.0622,0.75,0.25,6.746,1.63,5.998,1.81
Mo3Ga,Cr3Si,metal,1.1212,0.75,0.25,7.092,2.16,5.998,1.81
Nb3Ge,Cr3Si,metal,1.0981,0.75,0.25,6.758,1.6,7.897,2.01
V3Ge,Cr3Si,metal,1.0485,0.75,0.25,6.746,1.63,7.897,2.01
Mo3Si,Cr3Si,metal,1.1325,0.75,0.25,7.092,2.16,8.151,1.9
Nb3Sb,Cr3Si,metal,1.0932,0.75,0.25,6.758,1.6,8.643,2.05
Nb3Sn,Cr3Si,metal,1.1082,0.75,0.25,6.758,1.6,7.344,1.96
V3Sn,Cr3Si,metal,1.0715,0.75,0.25,6.746,1.63,7.344,1.96
LaBi,NaCl,metal,1.4232,0.5,0.5,5.577,1.1,7.286,2.02
HfC,NaCl,metal,1.0283,0.5,0.5,6.824,1.3,11.26,2.55
ZrC,NaCl,metal,1.0673,0.5,0.5,6.634,1.33,11.26,2.55
LaSb,NaCl,metal,1.4119,0.5,0.5,5.577,1.1,8.643,2.05
YSb,NaCl,metal,1.4816,0.5,0.5,6.218,1.22,8.643,2.05
ThC,NaCl,metal,0.9788,0.5,0.5,6.083,1.3,11.26,2.55
YSe,NaCl,metal,1.2899,0.5,0.5,6.218,1.22,9.752,2.55
CeAs,NaCl,metal,1.3184,0.5,0.5,5.538,1.12,9.814,2.18
ErAs,NaCl,metal,1.3323,0.5,0.5,6.107,1.24,9.814,2.18
GdAs,NaCl,metal,1.3047,0.5,0.5,6.15,1.2,9.814,2.18
TbAs,NaCl,metal,1.3093,0.5,0.5,5.864,1.21,9.814,2.18
YbAs,NaCl,metal,1.3397,0.5,0.5,6.253,1.25,9.814,2.18
CeBi,NaCl,metal,1.4296,0.5,0.5,5.538,1.12,7.286,2.02
DyBi,NaCl,metal,1.412,0.5,0.5,5.938,1.22,7.286,2.02
ErBi,NaCl,metal,1.4248,0.5,0.5,6.107,1.24,7.286,2.02
GdBi,NaCl,metal,1.3921,0.5,0.5,6.15,1.2,7.286,2.02
PrBi,NaCl,metal,1.3926,0.5,0.5,5.461,1.13,7.286,2.02
CrC,NaCl,metal,1.2502,0.5,0.5,6.766,1.66,11.26,2.55
FeC,NaCl,metal,2.0935,0.5,0.5,7.902,1.83,11.26,2.55
ScC,NaCl,metal,1.023,0.5,0.5,6.561,1.36,11.26,2.55
TaC,NaCl,metal,0.984,0.5,0.5,7.887,1.5,11.26,2.55
VC,NaCl,metal,1.0733,0.5,0.5,6.746,1.63,11.26,2.55
CeN,NaCl,metal,0.8554,0.5,0.5,5.538,1.12,14.53,3.04
CeP,NaCl,metal,1.2824,0.5,0.5,5.538,1.12,10.48,2.19
CeS,NaCl,metal,1.1872,0.5,0.5,5.538,1.12,10.36,2.58
CeSb,NaCl,metal,1.4198,0.5,0.5,5.538,1.12,8.643,2.05
CeSe,NaCl,metal,1.2504,0.5,0.5,5.538,1.12,9.752,2.55
CeTe,NaCl,metal,1.3823,0.5,0.5,5.538,1.12,9.009,2.1
DyS,NaCl,metal,1.1874,0.5,0.5,5.938,1.22,10.36,2.58
DySb,NaCl,metal,1.4289,0.5,0.5,5.938,1.22,8.643,2.05
ErP,NaCl,metal,1.3141,0.5,0.5,6.107,1.24,10.48,2.19
ErS,NaCl,metal,1.2082,0.5,0.5,6.107,1.24,10.36,2.58
ErSb,NaCl,metal,1.4355,0.5,0.5,6.107,1.24,8.643,2.05
ErSe,NaCl,metal,1.2736,0.5,0.5,6.107,1.24,9.752,2.55
GdP,NaCl,metal,1.2812,0.5,0.5,6.15,1.2,10.48,2.19
GdSb,NaCl,metal,1.3992,0.5,0.5,6.15,1.2,8.643,2.05
GdSe,NaCl,metal,1.2423,0.5,0.5,6.15,1.2,9.752,2.55
GdTe,NaCl,metal,1.3601,0.5,0.5,6.15,1.2,9.009,2.1
PdH,NaCl,metal,1.4386,0.5,0.5,8.337,2.2,13.59,2.2
RhH,NaCl,metal,1.3302,0.5,0.5,7.459,2.28,13.59,2.2
HfN,NaCl,metal,0.9576,0.5,0.5,6.824,1.3,14.53,3.04
HoP,NaCl,metal,1.2759,0.5,0.5,6.021,1.23,10.48,2.19
HoS,NaCl,metal,1.1835,0.5,0.5,6.021,1.23,10.36,2.58
HoSb,NaCl,metal,1.4081,0.5,0.5,6.021,1.23,8.643,2.05
LaSe,NaCl,metal,1.2434,0.5,0.5,5.577,1.1,9.752,2.55
LaTe,NaCl,metal,1.3838,0.5,0.5,5.577,1.1,9.009,2.1
LuS,NaCl,metal,1.2008,0.5,0.5,5.425,1.27,10.36,2.58
TcN,NaCl,metal,1.0646,0.5,0.5,7.275,1.9,14.53,3.04
YbN,NaCl,metal,0.9498,0.5,0.5,6.253,1.25,14.53,3.04
NdS,NaCl,metal,1.1913,0.5,0.5,5.525,1.14,10.36,2.58
NdSb,NaCl,metal,1.3942,0.5,0.5,5.525,1.14,8.643,2.05
NdSe,NaCl,metal,1.2446,0.5,0.5,5.525,1.14,9.752,2.55
NdTe,NaCl,metal,1.353,0.5,0.5,5.525,1.14,9.009,2.1
SmO,NaCl,metal,0.9368,0.5,0.5,5.643,1.17,13.61,3.44
TbP,NaCl,metal,1.2895,0.5,0.5,5.864,1.21,10.48,2.19
YbP,NaCl,metal,1.3113,0.5,0.5,6.253,1.25,10.48,2.19
PbPo,NaCl,metal,2.9167,0.5,0.5,7.416,2.33,8.416,2
PrS,NaCl,metal,1.1902,0.5,0.5,5.461,1.13,10.36,2.58
PrSb,NaCl,metal,1.4025,0.5,0.5,5.461,1.13,8.643,2.05
PrTe,NaCl,metal,1.3679,0.5,0.5,5.461,1.13,9.009,2.1
ScS,NaCl,metal,1.376,0.5,0.5,6.561,1.36,10.36,2.58
TbS,NaCl,metal,1.1841,0.5,0.5,5.864,1.21,10.36,2.58
TmS,NaCl,metal,1.1841,0.5,0.5,6.184,1.25,10.36,2.58
YS,NaCl,metal,1.2346,0.5,0.5,6.218,1.22,10.36,2.58
TbSb,NaCl,metal,1.4037,0.5,0.5,5.864,1.21,8.643,2.05
TmSb,NaCl,metal,1.4124,0.5,0.5,6.184,1.25,8.643,2.05
ThP,NaCl,metal,1.1878,0.5,0.5,6.083,1.3,10.48,2.19
ThS,NaCl,metal,1.1083,0.5,0.5,6.083,1.3,10.36,2.58
ThSb,NaCl,metal,1.3172,0.5,0.5,6.083,1.3,8.643,2.05
ThSe,NaCl,metal,1.1589,0.5,0.5,6.083,1.3,9.752,2.55
ThAs,NaCl,metal,1.2228,0.5,0.5,6.083,1.3,9.814,2.18
UC,NaCl,metal,0.9139,0.5,0.5,6.193,1.38,11.26,2.55
UN,NaCl,metal,0.8837,0.5,0.5,6.193,1.38,14.53,3.04
USe,NaCl,metal,1.2308,0.5,0.5,6.193,1.38,9.752,2.55
UTe,NaCl,metal,1.3761,0.5,0.5,6.193,1.38,9.009,2.1
NpAs,NaCl,metal,1.3884,0.5,0.5,6.265,1.36,9.814,2.18
NpC,NaCl,metal,1.0235,0.5,0.5,6.265,1.36,11.26,2.55
NpN,NaCl,metal,0.9849,0.5,0.5,6.265,1.36,14.53,3.04
NpP,NaCl,metal,1.3077,0.5,0.5,6.265,1.36,10.48,2.19
NpSb,NaCl,metal,1.5281,0.5,0.5,6.265,1.36,8.643,2.05
NpTe,NaCl,metal,1.5008,0.5,0.5,6.265,1.36,9.009,2.1
PuBi,NaCl,metal,1.5624,0.5,0.5,6.059,1.28,7.286,2.02
PuC,NaCl,metal,1.0525,0.5,0.5,6.059,1.28,11.26,2.55
PuN,NaCl,metal,1.0218,0.5,0.5,6.059,1.28,14.53,3.04
PuP,NaCl,metal,1.3141,0.5,0.5,6.059,1.28,10.48,2.19
PuS,NaCl,metal,1.3199,0.5,0.5,6.059,1.28,10.36,2.58
PuSb,NaCl,metal,1.5705,0.5,0.5,6.059,1.28,8.643,2.05
IrO2,TiO2,metal,2.2547,0.333,0.667,9.121,2.2,13.61,3.44
RuO2,TiO2,metal,2.1635,0.333,0.667,7.361,2.22,13.61,3.44
PtAl2,CaF2,metal,2.0335,0.333,0.667,9.017,2.28,5.985,1.61
AcH2,CaF2,metal,1.0882,0.333,0.667,5.172,1.1,13.59,2.2
AuGa2,CaF2,metal,2.1779,0.333,0.667,9.225,2.54,5.998,1.81
AuIn2,CaF2,metal,1.9942,0.333,0.667,9.225,2.54,5.786,1.78
CoSi2,CaF2,metal,1.9364,0.333,0.667,7.88,1.88,8.151,1.9
DyH2,CaF2,metal,1.1764,0.333,0.667,5.938,1.22,13.59,2.2
ErH2,CaF2,metal,1.1782,0.333,0.667,6.107,1.24,13.59,2.2
GdH2,CaF2,metal,1.1715,0.333,0.667,6.15,1.2,13.59,2.2
TiH2,CaF2,metal,1.2785,0.333,0.667,6.827,1.54,13.59,2.2
YH2,CaF2,metal,1.2165,0.333,0.667,6.218,1.22,13.59,2.2
SmH2,CaF2,metal,1.1816,0.333,0.667,5.643,1.17,13.59,2.2
ThH2,CaF2,metal,0.979,0.333,0.667,6.083,1.3,13.59,2.2
HoH2,CaF2,metal,1.1522,0.333,0.667,6.021,1.23,13.59,2.2
LuH2,CaF2,metal,1.1531,0.333,0.667,5.425,1.27,13.59,2.2
NbH2,CaF2,metal,1.2692,0.333,0.667,6.758,1.6,13.59,2.2
NpH2,CaF2,metal,1.3195,0.333,0.667,6.265,1.36,13.59,2.2
PuH2,CaF2,metal,1.392,0.333,0.667,6.059,1.28,13.59,2.2
TbH2,CaF2,metal,1.1706,0.333,0.667,5.864,1.21,13.59,2.2
TmH2,CaF2,metal,1.1376,0.333,0.667,6.184,1.25,13.59,2.2
NiSi2,CaF2,metal,2.019,0.333,0.667,7.639,1.91,8.151,1.9
PtSn2,CaF2,metal,2.0146,0.333,0.667,9.017,2.28,7.344,1.96
PrTl,CsCl,metal,1.2359,0.5,0.5,5.461,1.13,6.108,1.62
ThBi,CsCl,metal,1.1899,0.5,0.5,6.083,1.3,7.286,2.02
CeTl,CsCl,metal,1.216,0.5,0.5,5.538,1.12,6.108,1.62
DyIn,CsCl,metal,1.3084,0.5,0.5,5.938,1.22,5.786,1.78
DyTl,CsCl,metal,1.2363,0.5,0.5,5.938,1.22,6.108,1.62
ErIn,CsCl,metal,1.3042,0.5,0.5,6.107,1.24,5.786,1.78
ErTl,CsCl,metal,1.249,0.5,0.5,6.107,1.24,6.108,1.62
EuTl,CsCl,metal,1.3817,0.5,0.5,5.67,1.18,6.108,1.62
HoTl,CsCl,metal,1.2284,0.5,0.5,6.021,1.23,6.108,1.62
YbIn,CsCl,metal,1.402,0.5,0.5,6.253,1.25,5.786,1.78
LaTl,CsCl,metal,1.2214,0.5,0.5,5.577,1.1,6.108,1.62
MgTl,CsCl,metal,1.9481,0.5,0.5,7.645,1.31,6.108,1.62
NdTl,CsCl,metal,1.2178,0.5,0.5,5.525,1.14,6.108,1.62
SmTl,CsCl,metal,1.2213,0.5,0.5,5.643,1.17,6.108,1.62
TbTl,CsCl,metal,1.2261,0.5,0.5,5.864,1.21,6.108,1.62
TmTl,CsCl,metal,1.1911,0.5,0.5,6.184,1.25,6.108,1.62
FeAs,FeAs,metal,1.6468,0.5,0.5,7.902,1.83,9.814,2.18
AuGa,FeAs,metal,1.9101,0.5,0.5,9.225,2.54,5.998,1.81
CrP,FeAs,metal,1.5293,0.5,0.5,6.766,1.66,10.48,2.19
FeP,FeAs,metal,1.5861,0.5,0.5,7.902,1.83,10.48,2.19
MnP,FeAs,metal,1.5065,0.5,0.5,7.434,1.55,10.48,2.19
NiSi,FeAs,metal,1.7724,0.5,0.5,7.639,1.91,8.151,1.9
RuP,FeAs,metal,1.5633,0.5,0.5,7.361,2.22,10.48,2.19
PdSn,FeAs,metal,1.6563,0.5,0.5,8.337,2.2,7.344,1.96
PtSi,FeAs,metal,1.8227,0.5,0.5,9.017,2.28,8.151,1.9
RhSi,FeAs,metal,1.5554,0.5,0.5,7.459,2.28,8.151,1.9
VS,FeAs,metal,1.4168,0.5,0.5,6.746,1.63,10.36,2.58
TiSe,FeAs,metal,1.4371,0.5,0.5,6.827,1.54,9.752,2.55
MnAs,NiAs,metal,1.8656,0.5,0.5,7.434,1.55,9.814,2.18
NiAs,NiAs,metal,1.9009,0.5,0.5,7.639,1.91,9.814,2.18
AuSn,NiAs,metal,2.0501,0.5,0.5,9.225,2.54,7.344,1.96
MnBi,NiAs,metal,1.9575,0.5,0.5,7.434,1.55,7.286,2.02
PtBi,NiAs,metal,1.8312,0.5,0.5,9.017,2.28,7.286,2.02
CoSb,NiAs,metal,1.7778,0.5,0.5,7.88,1.88,8.643,2.05
CrSb,NiAs,metal,1.8719,0.5,0.5,6.766,1.66,8.643,2.05
VP,NiAs,metal,1.3536,0.5,0.5,6.746,1.63,10.48,2.19
PdSb,NiAs,metal,1.7883,0.5,0.5,8.337,2.2,8.643,2.05
PdTe,NiAs,metal,1.8785,0.5,0.5,8.337,2.2,9.009,2.1
PtSn,NiAs,metal,1.8188,0.5,0.5,9.017,2.28,7.344,1.96
VSe,NiAs,metal,1.5617,0.5,0.5,6.746,1.63,9.752,2.55
AlAs,ZnS,nonmetal,3.1323,0.5,0.5,5.985,1.61,9.814,2.18
AlP,ZnS,nonmetal,3.2544,0.5,0.5,5.985,1.61,10.48,2.19
AlSb,ZnS,nonmetal,3.0394,0.5,0.5,5.985,1.61,8.643,2.05
GaAs,ZnS,nonmetal,3.0747,0.5,0.5,5.998,1.81,9.814,2.18
InAs,ZnS,nonmetal,2.9129,0.5,0.5,5.786,1.78,9.814,2.18
BP,ZnS,nonmetal,3.0684,0.5,0.5,8.297,2.04,10.48,2.19
BeS,ZnS,nonmetal,3.3607,0.5,0.5,9.322,1.57,10.36,2.58
BeSe,ZnS,nonmetal,3.1165,0.5,0.5,9.322,1.57,9.752,2.55
BeTe,ZnS,nonmetal,3.0271,0.5,0.5,9.322,1.57,9.009,2.1
CuBr,ZnS,nonmetal,2.7167,0.5,0.5,7.726,1.9,11.81,2.96
CdPo,ZnS,nonmetal,3.0839,0.5,0.5,8.994,1.69,8.416,2
CdTe,ZnS,nonmetal,2.8967,0.5,0.5,8.994,1.69,9.009,2.1
CuF,ZnS,nonmetal,1.8501,0.5,0.5,7.726,1.9,17.42,3.98
GaP,ZnS,nonmetal,3.1772,0.5,0.5,5.998,1.81,10.48,2.19
GaSb,ZnS,nonmetal,3.0021,0.5,0.5,5.998,1.81,8.643,2.05
HgSe,ZnS,nonmetal,3.3385,0.5,0.5,10.43,2,9.752,2.55
HgTe,ZnS,nonmetal,3.2649,0.5,0.5,10.43,2,9.009,2.1
MgTe,ZnS,nonmetal,3.0415,0.5,0.5,7.645,1.31,9.009,2.1
ZnPo,ZnS,nonmetal,3.2869,0.5,0.5,9.394,1.65,8.416,2
ZnS,ZnS,nonmetal,3.1606,0.5,0.5,9.394,1.65,10.36,2.58
AgBr,NaCl,nonmetal,2.5376,0.5,0.5,7.576,1.93,11.81,2.96
AgCl,NaCl,nonmetal,2.4826,0.5,0.5,7.576,1.93,12.96,3.16
AgF,NaCl,nonmetal,2.198,0.5,0.5,7.576,1.93,17.42,3.98
BaO,NaCl,nonmetal,0.9924,0.5,0.5,5.212,0.89,13.61,3.44
BaS,NaCl,nonmetal,1.4021,0.5,0.5,5.212,0.89,10.36,2.58
BaSe,NaCl,nonmetal,1.4708,0.5,0.5,5.212,0.89,9.752,2.55
BaTe,NaCl,nonmetal,1.6332,0.5,0.5,5.212,0.89,9.009,2.1
KBr,NaCl,nonmetal,1.7015,0.5,0.5,4.34,0.82,11.81,2.96
LiBr,NaCl,nonmetal,2.5818,0.5,0.5,5.391,0.98,11.81,2.96
NaBr,NaCl,nonmetal,1.9608,0.5,0.5,5.138,0.93,11.81,2.96
RbBr,NaCl,nonmetal,1.5406,0.5,0.5,4.176,0.82,11.81,2.96
CaS,NaCl,nonmetal,1.5858,0.5,0.5,6.112,1,10.36,2.58
CaSe,NaCl,nonmetal,1.7177,0.5,0.5,6.112,1,9.752,2.55
CaTe,NaCl,nonmetal,1.6766,0.5,0.5,6.112,1,9.009,2.1
CdO,NaCl,nonmetal,1.8881,0.5,0.5,8.994,1.69,13.61,3.44
CsF,NaCl,nonmetal,0.8771,0.5,0.5,3.893,0.79,17.42,3.98
CsH,NaCl,nonmetal,1.0628,0.5,0.5,3.893,0.79,13.59,2.2
LiF,NaCl,nonmetal,1.6988,0.5,0.5,5.391,0.98,17.42,3.98
NaF,NaCl,nonmetal,1.3524,0.5,0.5,5.138,0.93,17.42,3.98
RbF,NaCl,nonmetal,1.0365,0.5,0.5,4.176,0.82,17.42,3.98
KH,NaCl,nonmetal,1.3166,0.5,0.5,4.34,0.82,13.59,2.2
LiH,NaCl,nonmetal,1.8835,0.5,0.5,5.391,0.98,13.59,2.2
NaH,NaCl,nonmetal,1.527,0.5,0.5,5.138,0.93,13.59,2.2
KI,NaCl,nonmetal,1.9005,0.5,0.5,4.34,0.82,10.45,2.66
LiI,NaCl,nonmetal,2.7771,0.5,0.5,5.391,0.98,10.45,2.66
NaI,NaCl,nonmetal,2.2224,0.5,0.5,5.138,0.93,10.45,2.66
RbI,NaCl,nonmetal,1.7686,0.5,0.5,4.176,0.82,10.45,2.66
MgO,NaCl,nonmetal,1.4368,0.5,0.5,7.645,1.31,13.61,3.44
MgSe,NaCl,nonmetal,2.1463,0.5,0.5,7.645,1.31,9.752,2.55
SrO,NaCl,nonmetal,1.0745,0.5,0.5,5.695,0.95,13.61,3.44
SrSe,NaCl,nonmetal,1.5769,0.5,0.5,5.695,0.95,9.752,2.55
SrTe,NaCl,nonmetal,1.7555,0.5,0.5,5.695,0.95,9.009,2.1
KCl,NaCl,nonmetal,1.5711,0.5,0.5,4.34,0.82,12.96,3.16
CaO,NaCl,nonmetal,1.1573,0.5,0.5,6.112,1,13.61,3.44
NaCl,NaCl,nonmetal,1.8799,0.5,0.5,5.138,0.93,12.96,3.16
KF,NaCl,nonmetal,1.0869,0.5,0.5,4.34,0.82,17.42,3.98
TlBr,NaCl,nonmetal,3.5597,0.5,0.5,6.108,1.62,11.81,2.96
CoO,NaCl,nonmetal,2.0196,0.5,0.5,7.88,1.88,13.61,3.44
FeO,NaCl,nonmetal,1.8365,0.5,0.5,7.902,1.83,13.61,3.44
GdN,NaCl,nonmetal,0.9402,0.5,0.5,6.15,1.2,14.53,3.04
EuS,NaCl,nonmetal,1.4308,0.5,0.5,5.67,1.18,10.36,2.58
EuSe,NaCl,nonmetal,1.4959,0.5,0.5,5.67,1.18,9.752,2.55
MnO,NaCl,nonmetal,1.7571,0.5,0.5,7.434,1.55,13.61,3.44
MnSe,NaCl,nonmetal,2.177,0.5,0.5,7.434,1.55,9.752,2.55
SiC,SiC,nonmetal,2.732,0.5,0.5,8.151,1.9,11.26,2.55
CoF2,TiO2,nonmetal,3.5631,0.333,0.667,7.88,1.88,17.42,3.98
FeF2,TiO2,nonmetal,3.4804,0.333,0.667,7.902,1.83,17.42,3.98
MnF2,TiO2,nonmetal,3.0701,0.333,0.667,7.434,1.55,17.42,3.98
NiF2,TiO2,nonmetal,3.4912,0.333,0.667,7.639,1.91,17.42,3.98
VF2,TiO2,nonmetal,2.2564,0.333,0.667,6.746,1.63,17.42,3.98
MgF2,TiO2,nonmetal,2.4486,0.333,0.667,7.645,1.31,17.42,3.98
GeO2,TiO2,nonmetal,2.8633,0.333,0.667,7.897,2.01,13.61,3.44
SnO2,TiO2,nonmetal,2.6191,0.333,0.667,7.344,1.96,13.61,3.44
TiO2,TiO2,nonmetal,1.5936,0.333,0.667,6.827,1.54,13.61,3.44
AgI,ZnO,nonmetal,2.8516,0.5,0.5,7.576,1.93,10.45,2.66
AlN,ZnO,nonmetal,2.3408,0.5,0.5,5.985,1.61,14.53,3.04
BeO,ZnO,nonmetal,2.8158,0.5,0.5,9.322,1.57,13.61,3.44
CdSe,ZnO,nonmetal,2.845,0.5,0.5,8.994,1.69,9.752,2.55
GaN,ZnO,nonmetal,2.4843,0.5,0.5,5.998,1.81,14.53,3.04
InN,ZnO,nonmetal,2.2947,0.5,0.5,5.786,1.78,14.53,3.04
ZnO,ZnO,nonmetal,2.7009,0.5,0.5,9.394,1.65,13.61,3.44
CdF2,CaF2,nonmetal,2.7845,0.333,0.667,8.994,1.69,17.42,3.98
CeO2,CaF2,nonmetal,1.0431,0.333,0.667,5.538,1.12,13.61,3.44
SrCl2,CaF2,nonmetal,2.1272,0.333,0.667,5.695,0.95,12.96,3.16
YbF2,CaF2,nonmetal,1.5161,0.333,0.667,6.253,1.25,17.42,3.98
ThO2,CaF2,nonmetal,1.1226,0.333,0.667,6.083,1.3,13.61,3.44
NpO2,CaF2,nonmetal,1.2882,0.333,0.667,6.265,1.36,13.61,3.44
PrO2,CaF2,nonmetal,1.0471,0.333,0.667,5.461,1.13,13.61,3.44
PuO2,CaF2,nonmetal,1.3188,0.333,0.667,6.059,1.28,13.61,3.44
TbO2,CaF2,nonmetal,1.1091,0.333,0.667,5.864,1.21,13.61,3.44
UO2,CaF2,nonmetal,1.2053,0.333,0.667,6.193,1.38,13.61,3.44
AmO2,CaF2,nonmetal,1.4571,0.333,0.667,5.991,1.3,13.61,3.44
CmO2,CaF2,nonmetal,1.7014,0.333,0.667,6.022,1.3,13.61,3.44
EuF2,CaF2,nonmetal,1.4587,0.333,0.667,5.67,1.18,17.42,3.98
PbF2,CaF2,nonmetal,3.5918,0.333,0.667,7.416,2.33,17.42,3.98
CsBr,CsCl,nonmetal,1.158,0.5,0.5,3.893,0.79,11.81,2.96
CsCl,CsCl,nonmetal,1.0711,0.5,0.5,3.893,0.79,12.96,3.16
TlCl,CsCl,nonmetal,3.2943,0.5,0.5,6.108,1.62,12.96,3.16
YP,NaCl,nonmetal,1.4935,0.5,0.5,6.218,1.22,10.48,2.19
