formula,C_11m,C_11_eff,C_12_eff,C_44_eff,K_eff,G_eff,E_eff,AR_eff,CR_eff,ea_eff,fi_eff,m_eff,rho_eff,val_eff,chi_eff
Mo12Ta48,346.27816333333334,492.8,193.8,143.12,313.46000000000004,170.29999999999998,413.0,1.924,0.8819999999999999,0.8007420000000001,7.70968,3522.1500000000005,17.48,4.4,2.32
Mo12V48,347.92895666666664,277.6,130.6,58.800000000000004,191.06,63.900000000000006,154.28,1.7480000000000002,0.8340000000000001,0.5685820000000001,6.81544,2318.15,6.928000000000001,3.6000000000000005,1.7360000000000002
Mo12W48,547.1385133333334,285.6,138.6,46.8,202.26000000000002,67.05199999999999,163.4,1.964,0.9140000000000001,0.8629260000000001,6.8256,2770.9500000000003,8.896,5.2,1.7120000000000002
Mo18Ta42,345.89980999999995,488.7,191.7,138.98000000000002,316.19,165.59999999999997,394.0,1.9209999999999998,0.9530000000000001,0.7937979999999999,7.6325199999999995,3443.15,16.57,4.6,2.3
Mo18V42,354.71795333333336,300.4,136.4,65.19999999999999,209.09,72.5,167.62,1.767,0.911,0.590658,6.850059999999999,2389.65,7.337,3.8999999999999995,1.7889999999999997
Mo18W42,539.5008933333334,307.4,143.4,54.7,218.89,75.258,175.6,1.956,0.9809999999999999,0.848209,6.858949999999998,2785.85,9.059,5.3,1.7679999999999998
Mo30Ta30,363.08866000000006,480.5,187.5,130.7,321.65,156.2,356.0,1.915,1.095,0.77991,7.478199999999999,3285.15,14.75,5.0,2.26
Mo30W30,530.7122266666667,351.0,153.0,70.5,252.15,91.66999999999999,200.0,1.94,1.115,0.818775,6.925649999999999,2815.65,9.385,5.5,1.8800000000000001
Mo42Ta18,404.2358133333333,472.29999999999995,183.29999999999998,122.42,327.10999999999996,146.79999999999998,318.0,1.9089999999999998,1.2369999999999999,0.766022,7.323879999999999,3127.15,12.93,5.3999999999999995,2.2199999999999998
Mo42W18,528.2789033333332,394.6,162.6,86.3,285.40999999999997,108.082,224.39999999999998,1.924,1.2489999999999999,0.7893410000000001,6.992349999999999,2845.45,9.710999999999999,5.699999999999999,1.992
Mo48Ta12,451.6537666666666,468.2,181.2,118.28,329.84000000000003,142.1,299.0,1.9060000000000001,1.3079999999999998,0.759078,7.24672,3048.1500000000005,12.02,5.6000000000000005,2.2
Mo48W12,525.7977733333332,416.4,167.4,94.2,302.04,116.288,236.60000000000002,1.916,1.3159999999999998,0.774624,7.0257,2860.3500000000004,9.874,5.800000000000001,2.048
Nb12Ta48,273.49499,454.20000000000005,190.60000000000002,137.62,284.6,157.6,398.0,1.944,0.748,0.7159040000000001,7.80112,3597.9500000000003,18.78,3.8000000000000003,2.1879999999999997
Nb12W48,471.4610666666667,247.00000000000003,135.4,41.3,173.40000000000003,54.352000000000004,148.4,1.984,0.7800000000000001,0.7780880000000001,6.91704,2846.75,10.196000000000002,4.6,1.5800000000000003
Nb18Ta42,276.11821333333336,430.79999999999995,186.89999999999998,130.73000000000002,272.9,146.54999999999998,371.5,1.951,0.752,0.6665409999999998,7.769679999999999,3556.85,18.52,3.6999999999999997,2.102
Nb18W42,421.58364,249.49999999999997,138.6,46.45,175.6,56.208,153.1,1.9859999999999998,0.7799999999999999,0.720952,6.996109999999999,2899.5499999999997,11.009,4.4,1.5699999999999998
Nb30Ta30,280.33196666666663,384.0,179.5,116.95,249.5,124.44999999999999,318.5,1.9649999999999999,0.76,0.567815,7.706799999999999,3474.65,18.0,3.5,1.93
Nb30W30,366.26133333333337,254.5,145.0,56.75,180.0,59.92,162.5,1.99,0.78,0.60668,7.154249999999999,3005.15,12.635,4.0,1.55
Ta12V48,277.46058,285.8,134.8,67.08000000000001,185.6,73.30000000000001,192.28,1.754,0.6920000000000001,0.58247,6.96976,2476.15,8.748000000000001,3.2,1.776
Ta12W48,473.58510666666666,293.8,142.8,55.08,196.8,76.452,201.4,1.9700000000000002,0.7720000000000001,0.8768140000000001,6.97992,2928.9500000000003,10.716000000000001,4.8,1.7520000000000002
Ta18V42,269.3536633333333,312.69999999999993,142.7,77.62,200.89999999999998,86.6,224.61999999999998,1.7759999999999998,0.698,0.61149,7.08154,2626.65,10.067,3.3,1.8489999999999998
Ta18W42,422.73715999999996,319.69999999999993,149.7,67.12,210.7,89.358,232.59999999999997,1.9649999999999999,0.7679999999999999,0.869041,7.09043,3022.85,11.789,4.7,1.8279999999999998
Ta30V30,267.5828466666667,366.5,158.5,98.7,231.5,113.19999999999999,289.3,1.8199999999999998,0.71,0.66953,7.3050999999999995,2927.65,12.705,3.5,1.9949999999999999
Mo24Nb16V24,318.95666000000006,326.25,151.25,79.125,231.6125,84.575,192.225,1.8537499999999998,0.99375,0.5563575000000001,7.076875,2716.775,10.29125,4.125,1.7962500000000001
Mo8Ta8W48,492.04691,301.625,143.625,55.925,207.1625,77.03,193.25,1.9637499999999999,0.8587499999999999,0.8642475000000001,6.938725,2877.15,10.115,5.0,1.7650000000000001
Ta16V24W24,367.27693666666664,303.0,142.5,66.725,198.5,81.42750000000001,212.725,1.86625,0.7324999999999999,0.7349537500000001,7.0304125,2763.65,10.330000000000002,4.0,1.80125
Mo24Ta24W16,433.6619066666667,420.875,172.875,105.775,283.4875,129.80999999999997,301.75,1.93125,1.0162499999999999,0.8080225,7.298375,3149.15,13.205,5.0,2.095
Mo24Ta16W24,448.92734666666666,388.5,164.25,90.725,266.1125,113.67750000000001,262.75,1.9374999999999998,1.02125,0.81773875,7.1602375,3031.775,11.86375,5.125,2.0
Mo24V24W16,427.0464233333333,320.0,143.25,66.25,226.1125,79.935,180.475,1.84875,0.9937499999999999,0.6991975,6.8792,2584.775,8.25875,4.625,1.82125
Mo24Nb16W24,441.1252366666667,330.0,155.0,73.5,236.8625,86.05250000000001,196.5,1.9549999999999998,1.03125,0.6943312500000001,7.0816375,2929.025,11.213750000000001,4.875,1.7850000000000001
Mo8Ta8V48,285.62941000000006,294.125,136.125,67.175,196.6625,74.075,184.7,1.76125,0.78375,0.5883,6.9292,2452.65,8.27,3.5,1.7874999999999999
Mo8Ta48W8,360.1226266666667,463.5,186.75,131.175,294.0375,157.6925,388.25,1.9325,0.83375,0.8156662499999999,7.629412499999999,3464.0250000000005,16.821250000000003,4.375,2.24
Ta48V8W8,321.4490933333334,435.0,179.5,123.17500000000001,271.5,146.9425,371.575,1.90875,0.7374999999999999,0.7880712499999999,7.5861374999999995,3374.6500000000005,16.310000000000002,4.0,2.17375
Mo48V8W8,452.29785999999996,404.25,163.75,92.125,291.975,111.6925,229.075,1.88625,1.2699999999999998,0.73599125,7.0074375,2782.1500000000005,9.485,5.5,2.02375
Mo16Ta24W24,436.54821666666663,393.625,166.875,95.9,262.7,119.55249999999998,286.5,1.94125,0.9324999999999999,0.82641875,7.256687499999999,3130.525,13.001250000000002,4.875,2.0250000000000004
Ta24V16W24,375.15646666666663,336.625,152.375,79.9,217.625,98.05249999999998,253.15,1.89375,0.74,0.77122875,7.1701375,2951.775,11.978750000000002,4.125,1.8925
Nb8V8W48,466.69607333333335,243.875,131.75,39.3125,170.0,52.4675,143.45,1.94875,0.7675,0.7749487500000001,6.8561499999999995,2736.4,9.27875,4.5,1.59125
Mo48Nb8V8,418.47883333333334,407.375,167.75,98.5625,294.725,114.0125,234.95,1.88875,1.2699999999999998,0.66457125,7.106275,2848.1500000000005,10.501249999999999,5.25,2.01125
Nb8Ta8V48,238.84649333333334,270.0,134.125,63.7375,178.625,66.1375,175.325,1.77375,0.7,0.53527625,6.98635,2500.025,9.0825,3.125,1.7049999999999998
Mo24Ta16V24,337.16768333333334,384.75,160.5,96.35,260.8625,112.2,258.475,1.8362499999999997,0.98375,0.679765,7.155475,2819.525,10.94125,4.375,2.01125
Nb24Ta16V24,228.94861999999998,312.375,154.5,86.0375,206.75,88.3875,230.35,1.8737499999999998,0.7324999999999999,0.52069375,7.326925,2961.65,13.378749999999998,3.25,1.76375
Mo16Nb24W24,430.62083666666666,305.875,153.0,70.0625,218.825,78.11500000000001,187.125,1.9675,0.9475,0.6413075,7.1387875,2976.4,12.026250000000001,4.5,1.7025000000000001
Nb16Ta24W24,371.12115,345.375,162.875,89.025,226.625,103.67749999999998,267.75,1.9662499999999998,0.7649999999999999,0.7203712499999999,7.370987499999999,3225.275,14.626250000000002,4.125,1.86
Nb16V24W24,349.5182366666667,244.5,133.25,49.5,169.25,53.8025,146.475,1.8837499999999998,0.7424999999999999,0.61154625,6.9518125,2660.9,9.68,3.75,1.5862500000000002
Mo24V16W24,448.63901333333325,321.25,144.5,64.375,227.8625,80.42750000000001,181.9,1.8824999999999998,1.00625,0.7451887500000001,6.880787499999999,2655.525,8.56625,4.875,1.8175000000000001
Nb24V24W16,316.56269333333336,247.625,137.25,55.9375,172.0,56.1225,152.35,1.88625,0.7424999999999999,0.54012625,7.05065,2726.9,10.69625,3.5,1.57375
Nb24Ta24W16,349.44763000000006,348.5,166.875,95.4625,229.375,105.99749999999999,273.625,1.96875,0.7649999999999999,0.64895125,7.469825,3291.275,15.6425,3.875,1.8475000000000001
Nb8V48W8,286.32929333333334,237.625,125.5,48.6875,161.25,50.005,136.325,1.78,0.7050000000000001,0.5449925,6.848212499999999,2382.65,7.74125,3.25,1.6099999999999999
Nb24Ta16W24,356.2203733333333,316.125,158.25,80.4125,212.0,89.86500000000001,234.625,1.9749999999999999,0.77,0.6586675,7.3316875,3173.9,14.30125,4.0,1.7525
Mo24Nb16Ta24,337.8194766666666,427.125,180.875,118.65,288.9875,134.45,313.5,1.9362499999999998,1.0162499999999999,0.6651825,7.49605,3281.15,15.2375,4.5,2.0700000000000003
Mo8Nb8V48,272.49784666666665,264.875,131.5,58.5625,182.0375,60.2625,151.575,1.77,0.7887500000000001,0.52659625,6.889899999999999,2401.275,7.945,3.375,1.68
Nb48Ta8V8,212.14016666666666,291.875,160.375,86.55,201.125,80.20000000000002,211.825,1.955,0.7625,0.40813250000000006,7.488475,3183.7750000000005,15.701249999999998,3.125,1.6237499999999998
Mo8Nb48V8,235.44403,286.75,157.75,81.375,204.5375,74.32500000000002,188.075,1.95125,0.85125,0.39945250000000004,7.392025,3085.0250000000005,14.563749999999999,3.375,1.59875
Mo8Nb8W48,490.93723,272.375,139.0,47.3125,192.5375,63.2175,160.125,1.9725,0.86375,0.80254375,6.899424999999999,2825.775,9.79,4.875,1.6575000000000002
Mo8Nb48W8,293.20263,288.0,159.0,79.5,206.2875,74.81750000000001,189.5,1.985,0.86375,0.44544375,7.3936125,3155.7750000000005,14.87125,3.625,1.595
Mo8V48W8,334.3992666666667,261.75,127.5,52.125,179.2875,57.9425,145.7,1.7675,0.7887500000000001,0.59801625,6.791062499999999,2335.275,6.92875,3.625,1.6925
Nb48V8W8,252.00500666666673,259.5,151.75,71.5,183.75,64.06750000000001,172.825,1.9612500000000002,0.7675,0.41784875000000005,7.3503375,3066.4000000000005,14.36,3.25,1.5287499999999998
Ta8V48W8,299.41137333333336,266.875,130.125,57.3,175.875,63.8175,169.45,1.77125,0.7000000000000001,0.60669625,6.887512499999999,2434.0250000000005,8.06625,3.375,1.7174999999999998
Mo16Ta24V24,323.17829,389.875,163.125,101.525,257.45,118.07499999999999,282.225,1.8399999999999999,0.8949999999999999,0.688445,7.251924999999999,2918.275,12.078750000000001,4.125,2.03625
Nb24V16W24,343.4186266666666,248.875,138.5,54.0625,173.75,56.615,153.775,1.92,0.755,0.5861175000000001,7.0522374999999995,2797.65,11.00375,3.75,1.57
Mo48Ta8V8,423.15157,436.625,172.375,107.175,309.35,127.82499999999999,268.075,1.88,1.265,0.726275,7.145575,2899.5250000000005,10.82625,5.375,2.11875
Nb8Ta48V8,276.27602333333334,438.125,183.5,129.6125,274.25,149.2625,377.45,1.91125,0.7374999999999999,0.7166512499999999,7.684975,3440.6500000000005,17.32625,3.75,2.16125
Nb48Ta8W8,266.91507333333334,293.125,161.625,84.675,202.875,80.69250000000001,213.25,1.98875,0.775,0.45412375000000005,7.4900625,3254.5250000000005,16.00875,3.375,1.6199999999999999
Mo16Nb24Ta24,318.5153266666667,403.0,178.875,115.2125,270.95,126.51249999999999,304.125,1.94875,0.9325,0.61215875,7.5532,3328.525,16.05,4.125,1.9875
Mo16V24W24,433.36443,292.75,137.25,56.375,205.325,69.67750000000001,165.225,1.85875,0.9099999999999999,0.71759375,6.8375125,2566.15,8.055,4.5,1.7512500000000002
Mo8Ta48V8,310.54958000000005,462.25,185.5,133.05,292.2875,157.2,386.825,1.8987500000000002,0.8212499999999999,0.7696749999999999,7.627825,3393.2750000000005,16.51375,4.125,2.24375
Mo8Nb48Ta8,236.50941666666668,320.375,167.625,94.55,223.6625,90.95000000000002,228.5,1.97875,0.85875,0.43572750000000005,7.53175,3273.1500000000005,16.2125,3.5,1.69
Mo48Nb8W8,449.72155999999995,408.625,169.0,96.6875,296.475,114.505,236.375,1.9224999999999999,1.2824999999999998,0.7105625,7.1078624999999995,2918.9000000000005,10.80875,5.5,2.0075000000000003
Nb8Ta8W48,467.4746933333333,277.5,141.625,52.4875,189.125,69.0925,183.875,1.9762499999999998,0.7749999999999999,0.81122375,6.995875,2924.525,10.9275,4.625,1.6825
Ta8V8W48,471.08209000000005,273.125,136.375,47.925,184.625,66.28,176.575,1.94,0.7625,0.8366525,6.895449999999999,2787.775,9.60375,4.625,1.6987500000000002
Mo48Ta8W8,453.13470666666666,437.875,173.625,105.3,311.1,128.3175,269.5,1.9137499999999998,1.2774999999999999,0.77226625,7.147162499999999,2970.2750000000005,11.13375,5.625,2.115
Mo8Nb8Ta48,312.3115233333333,466.625,190.75,137.6125,296.7875,160.0125,394.125,1.935,0.83375,0.7442462499999999,7.728249999999999,3530.025,17.837500000000002,4.125,2.2275
Nb24Ta24V16,240.26065000000003,346.0,164.375,99.2125,225.875,105.01249999999999,270.775,1.9012499999999999,0.74,0.55696875,7.46665,3149.775,15.0275,3.375,1.855
Mo24Ta24V16,337.2947200000001,418.375,170.375,109.525,279.9875,128.825,298.9,1.8637499999999998,0.99125,0.71604,7.2951999999999995,3007.65,12.59,4.5,2.1025
Mo24Nb24Ta16,324.23913,397.875,176.25,110.0375,274.3625,120.6375,280.375,1.9449999999999998,1.02125,0.6034787500000001,7.45675,3229.775,14.912499999999998,4.375,1.9625
Ta24V24W16,345.9356966666667,335.375,151.125,81.775,215.875,97.55999999999999,251.725,1.8599999999999999,0.7275,0.7252375,7.16855,2881.025,11.67125,3.875,1.8962499999999998
Nb8Ta48W8,324.34506333333337,439.375,184.75,127.73750000000001,276.0,149.755,378.875,1.945,0.75,0.7626424999999999,7.686562499999999,3511.4000000000005,17.63375,4.0,2.1575
Mo8V8W48,493.5043533333334,268.0,133.75,42.75,188.0375,60.405,152.825,1.9362499999999998,0.85125,0.8279725,6.7989999999999995,2689.025,8.46625,4.875,1.67375
Mo16Nb24V24,289.7269966666667,302.125,149.25,75.6875,213.575,76.6375,182.85,1.86625,0.91,0.50333375,7.134025,2764.15,11.10375,3.75,1.71375
Mo24Nb24V16,307.03766333333334,330.625,156.5,83.6875,236.1125,87.3875,199.525,1.89,1.0062499999999999,0.5309287500000001,7.177300000000001,2853.525,11.614999999999998,4.125,1.78
Nb16Ta24V24,233.4590333333333,341.625,159.125,94.65,221.375,102.19999999999999,263.475,1.8649999999999998,0.7275,0.5823974999999999,7.366224999999999,3013.025,13.703750000000001,3.375,1.8712499999999999
Mo24Nb24W16,424.39244333333335,333.125,159.0,79.9375,239.6125,88.3725,202.375,1.9575,1.03125,0.62291125,7.180475,2995.025,12.229999999999999,4.625,1.7725
Mo48Nb8Ta8,422.80334999999997,441.0,177.625,111.7375,313.85,130.6375,275.375,1.9162499999999998,1.2774999999999999,0.70084625,7.2459999999999996,3036.2750000000005,12.149999999999999,5.375,2.1025
